Name	Set	ImageFile	Id Number	Type	Pull Cost	Attack Power	Defense Power	Pull Generated	Rarity	Traits	Rules
Atlanteans' Secret (A001)	arcana	A001	A001	Secret 	0	-	-	-	U1	Atlantean	Crank for 4 Pull to call Atlantean cards or 1 Pull to call Psychic cards.  Crank to add +1 to any attack of an Atlantean.
"Cabal's Story, The (A002)"	arcana	A002	A002	Secret 	0	-	-	-	U1	Cabal	Crank to nullify the Pull generated by any Astral or Psychic.  Crank to add +1 to any attack on a Cabal.
"Magic Circle's Story, The (A003)"	arcana	A003	A003	Secret 	0	-	-	-	U1	Magic Circle	Crank for 4 Pull to call Magic Circles.  Crank this Secret and any Nekros to Control any Magic Circle.
"Purpose of the Neutralizers, The (A004)"	arcana	A004	A004	Secret 	0	-	-	-	U1	Neutraliser	"Crank this Secret and any Neutralizer to pop any Alien, Astral, Fringe, or Psychic Condition.  Crank to Flip any Neutralizer."
"Secret of the Saou, The (A005)"	arcana	A005	A005	Secret 	0	-	-	-	U1	Saou	Crank to call or to pop any Saou Condition.
Tablets of Kish (A006)	arcana	A006	A006	Secret 	4	-	-	-	U1	"Book, Chaos"	Crank any time to negate the effects of Control of a Human or Mutant (including combat); the controlled character is cranked.
"Theory Behind Astral Powers, The (A007)"	arcana	A007	A007	Secret 	0	-	-	-	U1	Astral	Crank for 4 Pull to call Astral Conditions or Astral Gear.  Crank any time to cancel the effects of an Astral's special ability.
"Theory Behind Psychic Powers, The (A008)"	arcana	A008	A008	Secret 	0	-	-	-	U1	Psychic	"Crank to give any Human or Mutant the trait ""Psychic"".  Crank to make Character Immune: Psychic until end of round."
"Truth About Necromancy, The (A009)"	arcana	A009	A009	Secret 	0	-	-	-	U1	Astral	Crank for 4 Pull to call Nekros cards.  Crank any time to make a Character Immune: Nekros.
Vera Afanasyevna (A010)	arcana	A010	A010	Character 	1	1	4	-	U1	"Human, Trident, Saou, Astral, Registered"	"Crank to pop Chaos Chancer, Carcinogenia, Kergillian Implant, Mutation [corrected by errata], Psychic Virus, LeThuy Injection, or Seklut Poison."
Alter-Edge (A011)	arcana	A011	A011	Environmental 	4	-	-	-	U1	Astral	Non-Astrals suffer -2 Power.
Melinda Amduat (A012)	arcana	A012	A012	Character 	3	1	4	1	U1	"Human, Saou, Law, Government, Astral"	Crank to move any Government of Law without cranking it.
Ruth Anati (A013)	arcana	A013	A013	Character 	2	1	1	-	U2	"Human, Atlantean, Psychic"	Crank her and one other Psychic to uncrank a third Character.  The uncranked Character may not crank to perform an action it has already performed this turn.
Peach Angelic (A014)	arcana	A014	A014	Character 	0	1	3	*	C2	"Human, Low Life, CPC"	2 Pull to call CPC cards.  Crank to add +1 to any attack vs. an Astral or Psychic.
Anubis Scrolls (A015)	arcana	A015	A015	Gear 	1	-	-	*	U1	"Book, Saou, Nekros"	+2 Pull to call Nekros cards.  Permits you to call .-cost Nekros and Saou cards.  Unique.
Astral Egg (A016)	arcana	A016	A016	Condition 	1@	-	-	-	U2	"Saou, Astral"	"Play this on a Character as it is called.  Character is in play in terms of uniqueness only.  You may pop this condition at any time.  Character then enters play as if it were being called from your hand.  NOTE: The idea is to Astral Egg one or two characters so that they can be brought into play on a subsequent turn simultaneously with any others you may have the pull to call. In this way you can ""save up"" your characters for one blitzkrieg manoeuvre.  Since the character is in play in terms of Uniqueness only, it does not occupy a space in your Conspiracy."
Astral Refractor (A017)	arcana	A017	A017	Gear 	1@	-	-	-	C2	"Gladstein, Fringe"	Character may bypass an Astral.
Atavism: Necromancer (A018)	arcana	A018	A018	Condition 	2@	-	-	-	U1	"Astral, Nekros"	"Target Human gains trait ""Astral"" and ability ""Crank to Control any Nekros"".  Unique."
Atavism: Priestess of Thoth (A019)	arcana	A019	A019	Condition 	1@	-	-	-	U1	"Astral, Saou"	"Target Human gains trait ""Astral"" and ability ""Crank to give any Character thrait 'Astral' for one round"".  (You may use a token as a reminder.)  Unique."
Bad Vibes (A020)	arcana	A020	A020	Environmental 	3	-	-	-	U1	"Nekros, Astral"	Players may each uncrank only one astral Resource per turn.
